referee_id,name,country,avg_cards_per_game
1,Szymon Marciniak,Poland,4.2
2,Daniele Orsato,Italy,4.8
3,Michael Oliver,England,3.9
4,Anthony Taylor,England,4.1
5,Clément Turpin,France,3.6
6,Danny Makkelie,Netherlands,3.8
7,Jesús Valenzuela,Venezuela,4.9
8,Wilton Sampaio,Brazil,4.5
9,César Arturo Ramos,Mexico,4.0
10,Ivan Barton,El Salvador,5.1
11,Mustapha Ghorbal,Algeria,3.7
12,Victor Gomes,South Africa,4.3
13,Ma Ning,China,5.5
14,Alireza Faghani,Australia,4.2
15,Yoshimi Yamashita,Japan,3.4
16,Facundo Tello,Argentina,5.0
